gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
010818,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,USM CORP,USM.1
011296,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,WGL HOLDINGS INC,WGL
012564,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,CLEVELAND ELECTRIC ILLUM,CX2
013121,000003,03/31/1964,05/31/1976,S&P 500 Comp-Ltd,I0003,FLAGSTAR CORP,3FLSTQ1
007061,000003,03/31/1964,08/31/1976,S&P 500 Comp-Ltd,I0003,MARQUETTE CO,MQC.
007254,000003,03/31/1964,11/30/1976,S&P 500 Comp-Ltd,I0003,MERCANTILE STORES CO INC,MST.
007618,000003,03/31/1964,11/30/1976,S&P 500 Comp-Ltd,I0003,MURPHY (G.C.) CO,MPH.2
001628,000003,03/31/1964,02/28/1977,S&P 500 Comp-Ltd,I0003,ANACONDA CO,A.2
003470,000003,03/31/1964,05/31/1977,S&P 500 Comp-Ltd,I0003,CONTINENTAL STEEL CORP-DEL,CSCSQ
006651,000003,03/31/1964,11/30/1977,S&P 500 Comp-Ltd,I0003,LEHIGH PORTLAND CEMENT CO,LPT.
005781,000003,03/31/1964,02/28/1978,S&P 500 Comp-Ltd,I0003,HUNT INTL RESOURCES CORP,HI.1
001965,000003,03/31/1964,05/31/1978,S&P 500 Comp-Ltd,I0003,BABCOCK & WILCOX CO-OLD,BAW.
002455,000003,03/31/1964,05/31/1978,S&P 500 Comp-Ltd,I0003,BUDD CO,BF.
006648,000003,03/31/1964,05/31/1978,S&P 500 Comp-Ltd,I0003,LEESONA CORP,LSO.
004628,000003,03/31/1964,08/31/1978,S&P 500 Comp-Ltd,I0003,FIBREBOARD CORP -OLD,FBD.
005979,000003,03/31/1964,08/31/1978,S&P 500 Comp-Ltd,I0003,INSPIRATION CONS COPPER CO,9177A
006846,000003,03/31/1964,11/30/1978,S&P 500 Comp-Ltd,I0003,LYKES CORP-DEL,LY
008331,000003,03/31/1964,11/30/1978,S&P 500 Comp-Ltd,I0003,REVLON GROUP INC,4639A
003670,000003,03/31/1964,02/28/1979,S&P 500 Comp-Ltd,I0003,CUTLER-HAMMER INC,CH.3
003841,000003,03/31/1964,02/28/1979,S&P 500 Comp-Ltd,I0003,DEL MONTE CORP-OLD,DEL.1
009737,000003,03/31/1964,02/28/1979,S&P 500 Comp-Ltd,I0003,SIMMONS CO,SIM.4
004995,000003,03/31/1964,05/31/1979,S&P 500 Comp-Ltd,I0003,GARDNER-DENVER CO,GDC.2
007617,000003,03/31/1964,05/31/1979,S&P 500 Comp-Ltd,I0003,PREMIUMWEAR INC,WEAR.1
001572,000003,03/31/1964,08/31/1979,S&P 500 Comp-Ltd,I0003,AMERICAN STORES CO  -OLD,ASE.2
002789,000003,03/31/1964,08/31/1979,S&P 500 Comp-Ltd,I0003,CARRIER CORP,CRR.2
002549,000003,03/31/1964,02/29/1980,S&P 500 Comp-Ltd,I0003,CIT GROUP INC-OLD,CIT.1
004780,000003,03/31/1964,02/29/1980,S&P 500 Comp-Ltd,I0003,FLINTKOTE CO,FO.2
006877,000003,03/31/1964,05/31/1980,S&P 500 Comp-Ltd,I0003,MGM GRAND HOTELS INC,GRH.1
011282,000003,03/31/1964,05/31/1980,S&P 500 Comp-Ltd,I0003,WARNER & SWASEY CO,WS.2
006726,000003,03/31/1964,08/31/1980,S&P 500 Comp-Ltd,I0003,LIGGETT GROUP INC-OLD,2788A
002989,000003,03/31/1964,11/30/1980,S&P 500 Comp-Ltd,I0003,CHESSIE SYSTEM INC,CO.2
007967,000003,03/31/1964,11/30/1980,S&P 500 Comp-Ltd,I0003,ENVIROSOURCE INC,3ENSO
008820,000003,03/31/1964,11/30/1980,S&P 500 Comp-Ltd,I0003,PULLMAN INC,PU
009377,000003,03/31/1964,11/30/1980,S&P 500 Comp-Ltd,I0003,ST LOUIS-SAN FRAN RAILWAY,FN.1
004951,000003,03/31/1964,05/31/1981,S&P 500 Comp-Ltd,I0003,GK TECHNOLOGIES INC,GK.
006387,000003,03/31/1964,05/31/1981,S&P 500 Comp-Ltd,I0003,KENNECOTT CORP,KN.1
009103,000003,03/31/1964,05/31/1981,S&P 500 Comp-Ltd,I0003,REVERE COPPER & BRASS INC,RVB
010774,000003,03/31/1964,05/31/1981,S&P 500 Comp-Ltd,I0003,TWENTIETH CENTURY-FOX FILM,2888A
003142,000003,03/31/1964,08/31/1981,S&P 500 Comp-Ltd,I0003,COCA-COLA BOTTLING CO OF NY,KNY.1
009369,000003,03/31/1964,08/31/1981,S&P 500 Comp-Ltd,I0003,ST JOE MINERALS CORP,SJO.1
003398,000003,03/31/1964,11/30/1981,S&P 500 Comp-Ltd,I0003,CONOCO INC-OLD,CLL.2
005077,000003,03/31/1964,11/30/1981,S&P 500 Comp-Ltd,I0003,GENERAL PORTLAND INC,LAF1
010160,000003,03/31/1964,02/28/1982,S&P 500 Comp-Ltd,I0003,SUNBEAM CORP,AG1
003208,000003,03/31/1964,05/31/1982,S&P 500 Comp-Ltd,I0003,COLUMBIA PICTURES INDS,CPS.3
007068,000003,03/31/1964,05/31/1982,S&P 500 Comp-Ltd,I0003,MARSHALL FIELD & CO,MF.
009009,000003,03/31/1964,05/31/1982,S&P 500 Comp-Ltd,I0003,REEVES BROTHERS INC,RVS.
009303,000003,03/31/1964,05/31/1982,S&P 500 Comp-Ltd,I0003,RYMER FOODS INC,RFDS
009864,000003,03/31/1964,05/31/1982,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN RAILWAY CO,NSC1
001221,000003,03/31/1964,08/31/1982,S&P 500 Comp-Ltd,I0003,AKZONA,AXO.2
007007,000003,03/31/1964,08/31/1982,S&P 500 Comp-Ltd,I0003,JOHNS MANVILLE CORP,JM
009766,000003,03/31/1964,08/31/1982,S&P 500 Comp-Ltd,I0003,SLATTERY GROUP INC,3SGIB
001362,000003,03/31/1964,09/30/1982,S&P 500 Comp-Ltd,I0003,AMALGAMATED SUGAR CO,AGM.2
005669,000003,03/31/1964,09/30/1982,S&P 500 Comp-Ltd,I0003,HOLLY SUGAR CORP,HLYS.1
003067,000003,03/31/1964,11/30/1982,S&P 500 Comp-Ltd,I0003,CITIES SERVICE CO,OXY1
002157,000003,03/31/1964,01/31/1983,S&P 500 Comp-Ltd,I0003,BENDIX CORP,ALD1
005025,000003,03/31/1964,02/28/1983,S&P 500 Comp-Ltd,I0003,GENERAL AMERICAN OIL CO-TX,GAO
005767,000003,03/31/1964,06/30/1983,S&P 500 Comp-Ltd,I0003,HUDSON BAY MINING & SMELTING,7606B
010091,000003,03/31/1964,07/31/1983,S&P 500 Comp-Ltd,I0003,STOKELY VAN CAMP INC,OAT1
002424,000003,03/31/1964,10/31/1983,S&P 500 Comp-Ltd,I0003,KEYSPAN ENERGY CORP,KSE.
004240,000003,03/31/1964,10/31/1983,S&P 500 Comp-Ltd,I0003,EL PASO CO,ELG.2
007837,000003,03/31/1964,10/31/1983,S&P 500 Comp-Ltd,I0003,NEW ENGLAND ELECTRIC SYSTEM,NES.2
013353,000003,03/31/1964,10/31/1983,S&P 500 Comp-Ltd,I0003,WISCONSIN ELECTRIC POWER CO,WEC2
009404,000003,03/31/1964,11/30/1983,S&P 500 Comp-Ltd,I0003,SANTA FE INDUSTRIES,SFF.2
004011,000003,03/31/1964,01/31/1984,S&P 500 Comp-Ltd,I0003,DR PEPPER CO-OLD,DOC.3
010649,000003,03/31/1964,01/31/1984,S&P 500 Comp-Ltd,I0003,TRANE CO,TRA.3
021504,000003,03/31/1964,03/31/1984,S&P 500 Comp-Ltd,I0003,CONE MILLS CORP,CJML
007089,000003,03/31/1964,04/30/1984,S&P 500 Comp-Ltd,I0003,MASONITE CORP,MNC.3
005382,000003,03/31/1964,05/31/1984,S&P 500 Comp-Ltd,I0003,GULF CORP,GO.1
007298,000003,03/31/1964,05/31/1984,S&P 500 Comp-Ltd,I0003,METROMEDIA INC,MET.2
001010,000003,03/31/1964,06/30/1984,S&P 500 Comp-Ltd,I0003,ACF INDUSTRIES HOLDING CORP,4165A
009064,000003,03/31/1964,06/30/1984,S&P 500 Comp-Ltd,I0003,REPUBLIC STEEL CORP,3LTVCQ2
009266,000003,03/31/1964,06/30/1984,S&P 500 Comp-Ltd,I0003,ROYAL CROWN COS INC,RCC.2
004449,000003,03/31/1964,07/31/1984,S&P 500 Comp-Ltd,I0003,ESMARK INC-OLD,ESM.1
003460,000003,03/31/1964,09/30/1984,S&P 500 Comp-Ltd,I0003,CONTINENTAL GROUP INC,CCC.6
010197,000003,03/31/1964,09/30/1984,S&P 500 Comp-Ltd,I0003,SUPERIOR OIL CO,SOC.3
006260,000003,03/31/1964,10/31/1984,S&P 500 Comp-Ltd,I0003,JEWEL COS INC,JWL.
009381,000003,03/31/1964,10/31/1984,S&P 500 Comp-Ltd,I0003,ST REGIS CORP,SRT.1
011462,000003,03/31/1964,03/31/1985,S&P 500 Comp-Ltd,I0003,HANDY & HARMAN LTD,HNH
001528,000003,03/31/1964,04/30/1985,S&P 500 Comp-Ltd,I0003,AMERICAN NATURAL RESOURCES,ANR.2
007162,000003,03/31/1964,04/30/1985,S&P 500 Comp-Ltd,I0003,MCGRAW-EDISON CO,MGR.2
007707,000003,03/31/1964,04/30/1985,S&P 500 Comp-Ltd,I0003,NATIONAL CAN CORP,NAC.3
009653,000003,03/31/1964,05/31/1985,S&P 500 Comp-Ltd,I0003,SHELL OIL CO,4108A
007674,000003,03/31/1964,08/31/1985,S&P 500 Comp-Ltd,I0003,NABISCO BRANDS INC,NB.2
009560,000003,03/31/1964,08/31/1985,S&P 500 Comp-Ltd,I0003,SEARLE (G.D.) & CO,SRL.2
010873,000003,03/31/1964,08/31/1985,S&P 500 Comp-Ltd,I0003,UNIROYAL INC,R.1
001040,000003,03/31/1964,09/30/1985,S&P 500 Comp-Ltd,I0003,AMF INC,AMF.2
005055,000003,03/31/1964,10/31/1985,S&P 500 Comp-Ltd,I0003,GENERAL FOODS CORP,MO1
006828,000003,03/31/1964,10/31/1985,S&P 500 Comp-Ltd,I0003,LOWENSTEIN (M.) CORP,LST.1
003125,000003,03/31/1964,12/31/1985,S&P 500 Comp-Ltd,I0003,CLUETT PEABODY & CO,CLU.2
002102,000003,03/31/1964,03/31/1986,S&P 500 Comp-Ltd,I0003,BEATRICE COS INC,4708C
001623,000003,03/31/1964,04/30/1986,S&P 500 Comp-Ltd,I0003,AMSTED INDUSTRIES,4936C
003627,000003,03/31/1964,04/30/1986,S&P 500 Comp-Ltd,I0003,CROWN ZELLERBACH,FJ1
007739,000003,03/31/1964,04/30/1986,S&P 500 Comp-Ltd,I0003,NATIONAL GYPSUM CO,NGCO
008889,000003,03/31/1964,05/31/1986,S&P 500 Comp-Ltd,I0003,RCA CORP,RCA.1
006928,000003,03/31/1964,06/30/1986,S&P 500 Comp-Ltd,I0003,MACY (R H) & CO,4931C
009947,000003,03/31/1964,08/31/1986,S&P 500 Comp-Ltd,I0003,SPERRY CORP,SY.2
001803,000003,03/31/1964,09/30/1986,S&P 500 Comp-Ltd,I0003,ASSOCIATED DRY GOODS CORP,DG.2
004475,000003,03/31/1964,09/30/1986,S&P 500 Comp-Ltd,I0003,EX-CELL-O CORP,XLO
004920,000003,03/31/1964,09/30/1986,S&P 500 Comp-Ltd,I0003,K-H CORP,KH.1
011266,000003,03/31/1964,09/30/1986,S&P 500 Comp-Ltd,I0003,WALKER (HIRAM) RESOURCES LTD,HWR.
009359,000003,03/31/1964,10/31/1986,S&P 500 Comp-Ltd,I0003,SAFEWAY INC,SWY
002998,000003,03/31/1964,11/30/1986,S&P 500 Comp-Ltd,I0003,CHICAGO PNEUMATIC TOOL CO,CGG.1
001301,000003,03/31/1964,12/31/1986,S&P 500 Comp-Ltd,I0003,ALLIED STORES,9174A
002827,000003,03/31/1964,01/31/1987,S&P 500 Comp-Ltd,I0003,CELANESE CORP-OLD,CZ.1
008215,000003,03/31/1964,02/28/1987,S&P 500 Comp-Ltd,I0003,O-I GLASS INC,OI
009111,000003,03/31/1964,04/30/1987,S&P 500 Comp-Ltd,I0003,REXNORD HOLDINGS INC-OLD,FA1
006291,000003,03/31/1964,05/31/1987,S&P 500 Comp-Ltd,I0003,JOY TECHNOLOGIES INC  -CL A,JOY.1
001517,000003,03/31/1964,07/31/1987,S&P 500 Comp-Ltd,I0003,AMERICAN MOTORS CORP,AMO.1
002322,000003,03/31/1964,07/31/1987,S&P 500 Comp-Ltd,I0003,BURNS INTL SERVICES CORP,BOR.1
002661,000003,03/31/1964,07/31/1987,S&P 500 Comp-Ltd,I0003,CAMPBELL RED LAKE MINES,CRK.1
004021,000003,03/31/1964,07/31/1987,S&P 500 Comp-Ltd,I0003,DOME MINES LTD,DM.2
002489,000003,03/31/1964,08/31/1987,S&P 500 Comp-Ltd,I0003,BURLINGTON INDUSTRIES INC,3BRLGQ
010320,000003,03/31/1964,09/30/1987,S&P 500 Comp-Ltd,I0003,TAFT BROADCASTING CO,TFB.
002110,000003,03/31/1964,11/30/1987,S&P 500 Comp-Ltd,I0003,BE HOLDINGS INC  -CL A,5372C
009746,000003,03/31/1964,01/31/1988,S&P 500 Comp-Ltd,I0003,BICOASTAL CORP,5573C
010066,000003,03/31/1964,01/31/1988,S&P 500 Comp-Ltd,I0003,STERLING DRUG INC,STY.1
001567,000003,03/31/1964,03/31/1988,S&P 500 Comp-Ltd,I0003,TRANE INC,TT.2
004611,000003,03/31/1964,04/30/1988,S&P 500 Comp-Ltd,I0003,MACY'S INC,M
004672,000003,03/31/1964,04/30/1988,S&P 500 Comp-Ltd,I0003,FIRESTONE TIRE & RUBBER CO,FIR.1
010082,000003,03/31/1964,04/30/1988,S&P 500 Comp-Ltd,I0003,STEVENS (J.P.) & CO,WPM1
007495,000003,03/31/1964,06/30/1988,S&P 500 Comp-Ltd,I0003,MOHASCO CORP,MOH.
006318,000003,03/31/1964,10/31/1988,S&P 500 Comp-Ltd,I0003,KAISERTECH LTD,5854A
006920,000003,03/31/1964,10/31/1988,S&P 500 Comp-Ltd,I0003,MACMILLAN INC,MLL.2
001414,000003,03/31/1964,11/30/1988,S&P 500 Comp-Ltd,I0003,PRIMERICA INC,PRI
003746,000003,03/31/1964,11/30/1988,S&P 500 Comp-Ltd,I0003,KRAFT GENERAL FOODS,MO3
009113,000003,03/31/1964,01/31/1989,S&P 500 Comp-Ltd,I0003,NABISCO GROUP HOLDINGS CORP,NGH.2
002920,000003,03/31/1964,04/30/1989,S&P 500 Comp-Ltd,I0003,CHAMPION SPARK PLUG,CHM.2
003224,000003,03/31/1964,12/15/1989,S&P 500 Comp-Ltd,I0003,COMBUSTION ENGINEERING INC,CSP.2
006796,000003,03/31/1964,11/30/1990,S&P 500 Comp-Ltd,I0003,LONE STAR INDUSTRIES,LCE
006025,000003,03/31/1964,12/04/1990,S&P 500 Comp-Ltd,I0003,FURNITURE BRANDS INTL INC,FBNIQ
008308,000003,03/31/1964,01/09/1991,S&P 500 Comp-Ltd,I0003,PAN AM CORP,3PNAA.
010970,000003,03/31/1964,05/06/1991,S&P 500 Comp-Ltd,I0003,USX CORP-CONSOLIDATED,MROX.CM
009965,000003,03/31/1964,05/21/1991,S&P 500 Comp-Ltd,I0003,SQUARE D CO,SQD.1
007648,000003,03/31/1964,09/19/1991,S&P 500 Comp-Ltd,I0003,NCR CORP,NCR
010816,000003,03/31/1964,01/31/1992,S&P 500 Comp-Ltd,I0003,USG CORP,USG
007515,000003,03/31/1964,06/30/1992,S&P 500 Comp-Ltd,I0003,GENESIS WORLDWIDE INC-OLD,GWOW
008617,000003,03/31/1964,06/30/1993,S&P 500 Comp-Ltd,I0003,PITTSTON CO-CONSOLIDATED,PZSM.CM
008935,000003,03/31/1964,07/31/1993,S&P 500 Comp-Ltd,I0003,RALSTON PURINA-CONSOLIDATED,RACM.CM
007724,000003,03/31/1964,09/30/1993,S&P 500 Comp-Ltd,I0003,QUANTUM CHEMICAL CORP,CUE.1
001365,000003,03/31/1964,11/12/1993,S&P 500 Comp-Ltd,I0003,AMAX INC,AMX.2
007658,000003,03/31/1964,12/31/1993,S&P 500 Comp-Ltd,I0003,NL INDUSTRIES,NL
004595,000003,03/31/1964,03/31/1994,S&P 500 Comp-Ltd,I0003,FEDDERS CORP,FJCC
005141,000003,03/31/1964,06/30/1994,S&P 500 Comp-Ltd,I0003,GERBER PRODUCTS CO,GEB.1
010795,000003,03/31/1964,07/12/1994,S&P 500 Comp-Ltd,I0003,UNITED AIRLINES HOLDINGS INC,UAL
001430,000003,03/31/1964,09/26/1994,S&P 500 Comp-Ltd,I0003,AMERICAN CYANAMID CO,ACY.1
007745,000003,03/31/1964,09/26/1994,S&P 500 Comp-Ltd,I0003,AVATEX CORP,AVATQ
005109,000003,03/31/1964,10/02/1994,S&P 500 Comp-Ltd,I0003,GENESCO INC,GCO
002316,000003,03/31/1964,12/20/1994,S&P 500 Comp-Ltd,I0003,HEXION INC,0141A
007077,000003,03/31/1964,03/15/1995,S&P 500 Comp-Ltd,I0003,MARTIN MARIETTA CORP,ML.3
003091,000003,03/31/1964,05/21/1995,S&P 500 Comp-Ltd,I0003,CLARK EQUIPMENT CO,CKL
009408,000003,03/31/1964,09/21/1995,S&P 500 Comp-Ltd,I0003,SANTA FE PACIFIC CORP,SFX.2
011678,000003,03/31/1964,11/07/1995,S&P 500 Comp-Ltd,I0003,ZENITH ELECTRONICS CORP,ZE
002529,000003,03/31/1964,11/26/1995,S&P 500 Comp-Ltd,I0003,CBS INC,CBS.1
009514,000003,03/31/1964,12/12/1995,S&P 500 Comp-Ltd,I0003,SCOTT PAPER CO,SPP.3
004603,000003,03/31/1964,03/12/1996,S&P 500 Comp-Ltd,I0003,FEDERAL PAPER BOARD CO,FBO
002436,000003,03/31/1964,07/21/1996,S&P 500 Comp-Ltd,I0003,CALERES INC,CAL
008325,000003,03/31/1964,06/18/1997,S&P 500 Comp-Ltd,I0003,PANENERGY CORP,PEL.1
004393,000003,03/31/1964,08/05/1997,S&P 500 Comp-Ltd,I0003,TXU GAS CO,TXU2
002159,000003,03/31/1964,06/30/1998,S&P 500 Comp-Ltd,I0003,BENEFICIAL CORP,BNL.1
005968,000003,03/31/1964,06/30/1998,S&P 500 Comp-Ltd,I0003,RYERSON HOLDING CORP,RYI
004073,000003,03/31/1964,09/30/1998,S&P 500 Comp-Ltd,I0003,DRESSER INDUSTRIES INC,DI.
005087,000003,03/31/1964,10/06/1998,S&P 500 Comp-Ltd,I0003,SPX CORP,SPXC
003022,000003,03/31/1964,11/12/1998,S&P 500 Comp-Ltd,I0003,CHRYSLER CORP,C.3
001755,000003,03/31/1964,11/23/1998,S&P 500 Comp-Ltd,I0003,ARMCO INC,AS.
001609,000003,03/31/1964,01/03/1999,S&P 500 Comp-Ltd,I0003,AMOCO CORP,AN.2
011584,000003,03/31/1964,01/03/1999,S&P 500 Comp-Ltd,I0003,FOOT LOCKER INC,FL
006701,000003,03/31/1964,04/11/1999,S&P 500 Comp-Ltd,I0003,AEROQUIP-VICKERS INC,ANV.1
010855,000003,03/31/1964,05/02/1999,S&P 500 Comp-Ltd,I0003,UNION CAMP CORP,UCC.2
009810,000003,03/31/1964,10/25/1999,S&P 500 Comp-Ltd,I0003,SONAT INC,SNT.1
001789,000003,03/31/1964,10/26/1999,S&P 500 Comp-Ltd,I0003,ASARCO INC,AR.2
007475,000003,03/31/1964,11/30/1999,S&P 500 Comp-Ltd,I0003,MOBIL CORP,MOB.2
005693,000003,03/31/1964,12/01/1999,S&P 500 Comp-Ltd,I0003,HONEYWELL INC,HON.Z
003419,000003,03/31/1964,01/30/2000,S&P 500 Comp-Ltd,I0003,CONSOLIDATED NATURAL GAS CO,D2
004864,000003,03/31/1964,01/30/2000,S&P 500 Comp-Ltd,I0003,FOSTER WHEELER AG,FWLT
001848,000003,03/31/1964,04/17/2000,S&P 500 Comp-Ltd,I0003,ATLANTIC RICHFIELD CO,ARC.3
009114,000003,03/31/1964,05/04/2000,S&P 500 Comp-Ltd,I0003,REYNOLDS METALS CO,RLM.1
011436,000003,03/31/1964,05/04/2000,S&P 500 Comp-Ltd,I0003,CBS CORP -OLD,CBS.2
007938,000003,03/31/1964,06/04/2000,S&P 500 Comp-Ltd,I0003,NACCO INDUSTRIES  -CL A,NC
002847,000003,03/31/1964,06/15/2000,S&P 500 Comp-Ltd,I0003,CENTRAL & SOUTH WEST CORP,CSR.1
011288,000003,03/31/1964,06/20/2000,S&P 500 Comp-Ltd,I0003,WARNER-LAMBERT CO,WLA
003041,000003,03/31/1964,06/28/2000,S&P 500 Comp-Ltd,I0003,MILACRON INC,MZIAQ
004961,000003,03/31/1964,07/02/2000,S&P 500 Comp-Ltd,I0003,GTE CORP,GTE.1
005301,000003,03/31/1964,08/29/2000,S&P 500 Comp-Ltd,I0003,GREAT ATLANTIC & PAC TEA CO,GAPTQ
008214,000003,03/31/1964,10/01/2000,S&P 500 Comp-Ltd,I0003,OWENS CORNING,OC
002562,000003,03/31/1964,10/02/2000,S&P 500 Comp-Ltd,I0003,BESTFOODS,BFO.2
003255,000003,03/31/1964,10/22/2000,S&P 500 Comp-Ltd,I0003,UNICOM CORP,UCM.2
003206,000003,03/31/1964,11/01/2000,S&P 500 Comp-Ltd,I0003,COLUMBIA ENERGY GROUP,NI2
001762,000003,03/31/1964,11/16/2000,S&P 500 Comp-Ltd,I0003,ARMSTRONG HOLDINGS INC,3ACKH
002189,000003,03/31/1964,12/10/2000,S&P 500 Comp-Ltd,I0003,BETHLEHEM STEEL CORP,3BHMSQ
003619,000003,03/31/1964,12/10/2000,S&P 500 Comp-Ltd,I0003,CROWN HOLDINGS INC,CCK
005250,000003,03/31/1964,12/10/2000,S&P 500 Comp-Ltd,I0003,GRACE (W R) & CO,GRA
009548,000003,03/31/1964,12/10/2000,S&P 500 Comp-Ltd,I0003,SEAGRAM CO LTD,VO.3
008657,000003,03/31/1964,12/11/2000,S&P 500 Comp-Ltd,I0003,PRIMARY PDC INC,PRDCQ
010857,000003,03/31/1964,02/06/2001,S&P 500 Comp-Ltd,I0003,UNION CARBIDE CORP,DOW2
008852,000003,03/31/1964,08/02/2001,S&P 500 Comp-Ltd,I0003,QUAKER OATS CO,OAT.
010581,000003,03/31/1964,08/06/2001,S&P 500 Comp-Ltd,I0003,TIMKEN CO,TKR
008151,000003,03/31/1964,08/29/2001,S&P 500 Comp-Ltd,I0003,ONEOK INC,OKE
010482,000003,03/31/1964,10/09/2001,S&P 500 Comp-Ltd,I0003,TEXACO INC,TX.2
006127,000003,03/31/1964,11/29/2001,S&P 500 Comp-Ltd,I0003,ENRON CORP,ENRNQ
005686,000003,03/31/1964,12/16/2001,S&P 500 Comp-Ltd,I0003,HOMESTAKE MINING,HM
004510,000003,03/31/1964,01/01/2002,S&P 500 Comp-Ltd,I0003,FMC CORP,FMC
006307,000003,03/31/1964,01/16/2002,S&P 500 Comp-Ltd,I0003,SEARS HOLDINGS CORP,SHLDQ
007180,000003,03/31/1964,01/29/2002,S&P 500 Comp-Ltd,I0003,MEAD CORP,MEA.1
007892,000003,03/31/1964,01/31/2002,S&P 500 Comp-Ltd,I0003,NIAGARA MOHAWK HOLDINGS INC,NMK
001243,000003,03/31/1964,07/21/2002,S&P 500 Comp-Ltd,I0003,ALCAN INC,AL.1
005905,000003,03/31/1964,07/21/2002,S&P 500 Comp-Ltd,I0003,INCO LTD,INCLF
009267,000003,03/31/1964,07/21/2002,S&P 500 Comp-Ltd,I0003,ROYAL DUTCH PETROLEUM NV,RDPL
010846,000003,03/31/1964,07/21/2002,S&P 500 Comp-Ltd,I0003,THE UNILEVER GROUP,UN
010301,000003,03/31/1964,12/11/2002,S&P 500 Comp-Ltd,I0003,TRW INC,TRW.1
001045,000003,03/31/1964,03/13/2003,S&P 500 Comp-Ltd,I0003,AMERICAN AIRLINES GROUP INC,AAL
005735,000003,03/31/1964,03/30/2003,S&P 500 Comp-Ltd,I0003,HSBC FINANCE CORP,HBC1
007536,000003,03/31/1964,04/15/2003,S&P 500 Comp-Ltd,I0003,PHARMACIA CORP,PHA.1
011535,000003,03/31/1964,12/02/2004,S&P 500 Comp-Ltd,I0003,WINN-DIXIE STORES INC,WINN
003580,000003,03/31/1964,12/19/2004,S&P 500 Comp-Ltd,I0003,CRANE CO,CR
009563,000003,03/31/1964,03/27/2005,S&P 500 Comp-Ltd,I0003,SEARS ROEBUCK & CO,S.1
011038,000003,03/31/1964,08/10/2005,S&P 500 Comp-Ltd,I0003,UNOCAL CORP,UCL.1
007127,000003,03/31/1964,08/28/2005,S&P 500 Comp-Ltd,I0003,MAY DEPARTMENT STORES CO,MAY.2
005169,000003,03/31/1964,10/02/2005,S&P 500 Comp-Ltd,I0003,GILLETTE CO,G.1
001581,000003,03/31/1964,11/20/2005,S&P 500 Comp-Ltd,I0003,AT&T CORP,T.2
005134,000003,03/31/1964,12/19/2005,S&P 500 Comp-Ltd,I0003,GEORGIA-PACIFIC CORP,GP.1
003734,000003,03/31/1964,03/02/2006,S&P 500 Comp-Ltd,I0003,DANA INC,DAN
007139,000003,03/31/1964,04/02/2006,S&P 500 Comp-Ltd,I0003,MAYTAG CORP,MYG.1
006081,000003,03/31/1964,12/19/2006,S&P 500 Comp-Ltd,I0003,NAVISTAR INTERNATIONAL CORP,NAV
008470,000003,03/31/1964,02/21/2007,S&P 500 Comp-Ltd,I0003,PEOPLES ENERGY CORP,PGL.1
008536,000003,03/31/1964,03/19/2007,S&P 500 Comp-Ltd,I0003,PHELPS DODGE CORP,PD.1
010507,000003,03/31/1964,10/09/2007,S&P 500 Comp-Ltd,I0003,ENERGY FUTURE HOLDINGS CORP,0033A
011609,000003,03/31/1964,10/06/2008,S&P 500 Comp-Ltd,I0003,WRIGLEY (WM) JR CO,WWY
002504,000003,03/31/1964,11/10/2008,S&P 500 Comp-Ltd,I0003,UNISYS CORP,UIS
005589,000003,03/31/1964,11/13/2008,S&P 500 Comp-Ltd,I0003,HERCULES INC,HPC
005073,000003,03/31/1964,06/02/2009,S&P 500 Comp-Ltd,I0003,GENERAL MOTORS CO,GM
005959,000003,03/31/1964,06/30/2009,S&P 500 Comp-Ltd,I0003,TRANE TECHNOLOGIES PLC,TT
003497,000003,03/31/1964,09/08/2009,S&P 500 Comp-Ltd,I0003,COOPER INDUSTRIES PLC,CBE
001478,000003,03/31/1964,10/15/2009,S&P 500 Comp-Ltd,I0003,WYETH,WYE
009459,000003,03/31/1964,11/03/2009,S&P 500 Comp-Ltd,I0003,SCHERING-PLOUGH,SGP
002490,000003,03/31/1964,02/15/2010,S&P 500 Comp-Ltd,I0003,BURLINGTON NORTHERN SANTA FE,BRK3
004194,000003,03/31/1964,12/19/2010,S&P 500 Comp-Ltd,I0003,EASTMAN KODAK CO,KODK
005860,000003,03/31/1964,10/31/2011,S&P 500 Comp-Ltd,I0003,ITT INC,ITT
001995,000003,03/31/1964,03/13/2012,S&P 500 Comp-Ltd,I0003,CONSTELLATION ENERGY GRP INC,CEG
005229,000003,03/31/1964,07/30/2012,S&P 500 Comp-Ltd,I0003,GOODRICH CORP,GR
005568,000003,03/31/1964,06/06/2013,S&P 500 Comp-Ltd,I0003,KRAFT HEINZ CO,KHC
008446,000003,03/31/1964,12/01/2013,S&P 500 Comp-Ltd,I0003,PENNEY (J C) CO,JCPNQ
001408,000003,03/31/1964,04/30/2014,S&P 500 Comp-Ltd,I0003,BEAM INC,BEAM.2
011446,000003,03/31/1964,07/01/2015,S&P 500 Comp-Ltd,I0003,MEADWESTVACO CORP,MWV
001356,000003,03/31/1964,10/31/2016,S&P 500 Comp-Ltd,I0003,ALCOA INC,AA.3
